rats,groupe,cond,inje,session,trend,bloc,norm
20,stim,off,10,1,13,4,0.8695652173913043
50,eyfp,off,6,2,14,4,0.8571428571428571
51,eyfp,off,10,2,14,4,0.9090909090909091
52,eyfp,off,5,2,14,4,0.7692307692307693
63,eyfp,off,6,2,14,4,0.6486486486486487
64,eyfp,off,14,2,14,4,0.9824561403508771
21,eyfp,off,18,2,14,4,1.5
22,eyfp,off,13,2,14,4,0.9629629629629629
53,stim,off,12,2,14,4,1.2
54,stim,off,10,2,14,4,1.5384615384615385
55,stim,off,8,2,14,4,0.9411764705882353
59,stim,off,8,2,14,4,0.8205128205128205
14,stim,off,15,2,14,4,1.4634146341463414
19,stim,off,9,2,14,4,0.6206896551724138
20,stim,off,11,2,14,4,0.9565217391304348
50,eyfp,off,4,3,15,4,0.5714285714285714
51,eyfp,off,11,3,15,4,1
52,eyfp,off,4,3,15,4,0.6153846153846154
63,eyfp,off,9,3,15,4,0.972972972972973
64,eyfp,off,16,3,15,4,1.1228070175438596
21,eyfp,off,17,3,15,4,1.4166666666666667
22,eyfp,off,15,3,15,4,1.1111111111111112
53,stim,off,10,3,15,4,1
54,stim,off,9,3,15,4,1.3846153846153846
55,stim,off,4,3,15,4,0.47058823529411764
59,stim,off,9,3,15,4,0.9230769230769231
14,stim,off,10,3,15,4,0.975609756097561
19,stim,off,12,3,15,4,0.8275862068965517
20,stim,off,12,3,15,4,1.0434782608695652
50,eyfp,off,4,4,16,4,0.5714285714285714
51,eyfp,off,10,4,16,4,0.9090909090909091
52,eyfp,off,5,4,16,4,0.7692307692307693
63,eyfp,off,7,4,16,4,0.7567567567567568
64,eyfp,off,8,4,16,4,0.5614035087719298
21,eyfp,off,12,4,16,4,1
22,eyfp,off,14,4,16,4,1.037037037037037
53,stim,off,8,4,16,4,0.8
54,stim,off,7,4,16,4,1.0769230769230769
55,stim,off,6,4,16,4,0.7058823529411765
59,stim,off,7,4,16,4,0.717948717948718
14,stim,off,11,4,16,4,1.0731707317073171
19,stim,off,12,4,16,4,0.8275862068965517
20,stim,off,12,4,16,4,1.0434782608695652
