"","X1","rats","groupe","cond","inje","session","trend","norminje","bloc"
"139",139,6,"inhi","laser",13,6,10,0.945454545454545,3
"140",140,23,"inhi","laser",8,6,10,0.695652173913043,3
"141",141,50,"eyfp","laser",12,7,11,1.71428571428571,3
"142",142,51,"eyfp","laser",10,7,11,0.909090909090909,3
"143",143,52,"eyfp","laser",5,7,11,0.769230769230769,3
"144",144,63,"eyfp","laser",8,7,11,0.864864864864865,3
"145",145,64,"eyfp","laser",11,7,11,0.771929824561403,3
"146",146,21,"eyfp","laser",13,7,11,1.08333333333333,3
"147",147,22,"eyfp","laser",11,7,11,0.814814814814815,3
"148",148,56,"inhi","laser",8,7,11,1,3
"149",149,57,"inhi","laser",6,7,11,0.705882352941177,3
"150",150,65,"inhi","laser",13,7,11,1.26829268292683,3
"151",151,66,"inhi","laser",8,7,11,0.711111111111111,3
"152",152,5,"inhi","laser",12,7,11,0.738461538461539,3
"153",153,6,"inhi","laser",12,7,11,0.872727272727273,3
"154",154,23,"inhi","laser",10,7,11,0.869565217391304,3
"155",155,50,"eyfp","laser",10,8,12,1.42857142857143,3
"156",156,51,"eyfp","laser",9,8,12,0.818181818181818,3
"157",157,52,"eyfp","laser",6,8,12,0.923076923076923,3
"158",158,63,"eyfp","laser",9,8,12,0.972972972972973,3
"159",159,64,"eyfp","laser",12,8,12,0.842105263157895,3
"160",160,21,"eyfp","laser",14,8,12,1.16666666666667,3
"161",161,22,"eyfp","laser",12,8,12,0.888888888888889,3
"162",162,56,"inhi","laser",8,8,12,1,3
"163",163,57,"inhi","laser",9,8,12,1.05882352941176,3
"164",164,65,"inhi","laser",10,8,12,0.975609756097561,3
"165",165,66,"inhi","laser",9,8,12,0.8,3
"166",166,5,"inhi","laser",8,8,12,0.492307692307692,3
"167",167,6,"inhi","laser",6,8,12,0.436363636363636,3
"168",168,23,"inhi","laser",12,8,12,1.04347826086957,3
"169",169,50,"eyfp","off",5,1,13,0.714285714285714,4
"170",170,51,"eyfp","off",10,1,13,0.909090909090909,4
"171",171,52,"eyfp","off",5,1,13,0.769230769230769,4
"172",172,63,"eyfp","off",8,1,13,0.864864864864865,4
"173",173,64,"eyfp","off",13,1,13,0.912280701754386,4
"174",174,21,"eyfp","off",13,1,13,1.08333333333333,4
"175",175,22,"eyfp","off",14,1,13,1.03703703703704,4
"176",176,56,"inhi","off",9,1,13,1.125,4
"177",177,57,"inhi","off",7,1,13,0.823529411764706,4
"178",178,65,"inhi","off",9,1,13,0.878048780487805,4
"179",179,66,"inhi","off",8,1,13,0.711111111111111,4
"180",180,5,"inhi","off",10,1,13,0.615384615384615,4
"181",181,6,"inhi","off",12,1,13,0.872727272727273,4
"182",182,23,"inhi","off",10,1,13,0.869565217391304,4
"183",183,50,"eyfp","off",6,2,14,0.857142857142857,4
"184",184,51,"eyfp","off",10,2,14,0.909090909090909,4
"185",185,52,"eyfp","off",5,2,14,0.769230769230769,4
"186",186,63,"eyfp","off",6,2,14,0.648648648648649,4
"187",187,64,"eyfp","off",14,2,14,0.982456140350877,4
"188",188,21,"eyfp","off",18,2,14,1.5,4
"189",189,22,"eyfp","off",13,2,14,0.962962962962963,4
"190",190,56,"inhi","off",12,2,14,1.5,4
"191",191,57,"inhi","off",10,2,14,1.17647058823529,4
"192",192,65,"inhi","off",11,2,14,1.07317073170732,4
"193",193,66,"inhi","off",9,2,14,0.8,4
"194",194,5,"inhi","off",13,2,14,0.8,4
"195",195,6,"inhi","off",13,2,14,0.945454545454545,4
"196",196,23,"inhi","off",13,2,14,1.1304347826087,4
"197",197,50,"eyfp","off",4,3,15,0.571428571428571,4
"198",198,51,"eyfp","off",11,3,15,1,4
"199",199,52,"eyfp","off",4,3,15,0.615384615384615,4
"200",200,63,"eyfp","off",9,3,15,0.972972972972973,4
"201",201,64,"eyfp","off",16,3,15,1.12280701754386,4
"202",202,21,"eyfp","off",17,3,15,1.41666666666667,4
"203",203,22,"eyfp","off",15,3,15,1.11111111111111,4
"204",204,56,"inhi","off",8,3,15,1,4
"205",205,57,"inhi","off",8,3,15,0.941176470588235,4
"206",206,65,"inhi","off",8,3,15,0.780487804878049,4
"207",207,66,"inhi","off",10,3,15,0.888888888888889,4
"208",208,5,"inhi","off",16,3,15,0.984615384615385,4
"209",209,6,"inhi","off",14,3,15,1.01818181818182,4
"210",210,23,"inhi","off",11,3,15,0.956521739130435,4
"211",211,50,"eyfp","off",4,4,16,0.571428571428571,4
"212",212,51,"eyfp","off",10,4,16,0.909090909090909,4
"213",213,52,"eyfp","off",5,4,16,0.769230769230769,4
"214",214,63,"eyfp","off",7,4,16,0.756756756756757,4
"215",215,64,"eyfp","off",8,4,16,0.56140350877193,4
"216",216,21,"eyfp","off",12,4,16,1,4
"217",217,22,"eyfp","off",14,4,16,1.03703703703704,4
"218",218,56,"inhi","off",13,4,16,1.625,4
"219",219,57,"inhi","off",8,4,16,0.941176470588235,4
"220",220,65,"inhi","off",7,4,16,0.682926829268293,4
"221",221,66,"inhi","off",10,4,16,0.888888888888889,4
"222",222,5,"inhi","off",13,4,16,0.8,4
"223",223,6,"inhi","off",15,4,16,1.09090909090909,4
"224",224,23,"inhi","off",10,4,16,0.869565217391304,4
